Stock,Method,Index,FixN2,Use.r,Use.k,Use.q,Resilience,Prior.r.low,Prior.r.hi,Prior.k.low,Prior.k.hi,Prior.log.k,Prior.log.k.sd,Prior.q.low,Prior.q.hi,Prior.log.q,Prior.log.q.sd,r,r.low,r.high,k,k.low,k.high,msy,msy.low,msy.high,fmsy,fmsy.low,fmsy.high,bmsy,bmsy.low,bmsy.high,b.end,b.end.low,b.end.hi,bbmsy,bbmsy.low,bbmsy.hi,f.end,f.end.low,f.end.hi,ffmsy,ffmsy.low,ffmsy.hi,Converge,Prior.Warn,Fit.Warn
Cod_7_ek,SPICT,1,Y,Y,Y,Y,Medium,0.2,0.8,20.72875,331.66,5.171587789,0.535016541,0.120731499,0.482925995,-1.197895485,0.229072683,0.512251226,0.271331006,0.753171445,104.3485502,-2.860207173,211.5573076,11.24018644,4.72282588,26.75131254,0.23876936,0.1447462,0.39386737,47.42102727,17.90560082,125.5894091,4.3134982,2.02118031,9.20564417,0.09096172,0.02968127,0.2787628,0.60534586,0.27226077,1.34592876,2.53527449,1.21683894,5.28222475,Convergence: 0  MSG: relative convergence (4),,
Cod_7_ek,SPICT,2,N,N,N,N,Medium,0.2,0.8,20.72875,331.66,5.171587789,0.535016541,0.120731499,0.482925995,-1.197895485,0.229072683,0.273913828,NA,NA,97.11754638,74.51894132,119.7161514,6.88968017,NA,NA,0.17493911,NA,NA,39.5280678,35.9277151,43.48921548,9.83748731,NA,NA,0.24887347,0.1826331,0.33913899,0.25975352,NA,NA,1.48482248,0.89211554,2.47131418,Convergence: 1  MSG: false convergence (8),,
Cod_7_ek,SPICT,2,Y,N,N,N,Medium,0.2,0.8,20.72875,331.66,5.171587789,0.535016541,0.120731499,0.482925995,-1.197895485,0.229072683,0.241692355,NA,NA,125.0227846,NA,NA,6.67955553,NA,NA,0.11428809,NA,NA,58.66524945,NA,NA,15.60000283,NA,NA,0.26591556,NA,NA,0.16503133,NA,NA,1.44399407,NA,NA,Convergence: 1  MSG: false convergence (8),,
Cod_7_ek,SPICT,2,Y,Y,N,N,Medium,0.2,0.8,20.72875,331.66,5.171587789,0.535016541,0.120731499,0.482925995,-1.197895485,0.229072683,0.627133912,0.249698713,1.004569111,66.44949874,33.67233898,99.22665849,10.29113089,8.5463767,12.39207896,0.31201121,0.17013368,0.57220297,32.98440785,20.18948008,53.88802274,3.81267796,1.30804368,11.11317105,0.11559031,0.05335816,0.25040445,0.6814257,0.21725798,2.13727937,2.18397828,0.98811315,4.82714063,Convergence: 0  MSG: relative convergence (4),,
Cod_7_ek,SPICT,2,Y,Y,Y,N,Medium,0.2,0.8,20.72875,331.66,5.171587789,0.535016541,0.120731499,0.482925995,-1.197895485,0.229072683,0.27140117,0.257675528,0.285126811,124.5495803,120.4449704,128.6541901,8.41219193,8.26045817,8.56671284,0.13552518,0.1288008,0.14260062,62.07149303,60.07542633,64.13388106,12.62485426,6.39850675,24.91002219,0.20339215,0.1024158,0.40392563,0.20368275,0.09714532,0.42705775,1.50291444,0.70960842,3.18309616,Convergence: 1  MSG: false convergence (8),,
Cod_7_ek,SPICT,2,Y,Y,N,Y,Medium,0.2,0.8,20.72875,331.66,5.171587789,0.535016541,0.120731499,0.482925995,-1.197895485,0.229072683,0.57960988,0.377739969,0.781479791,72.35605545,46.60957963,98.10253126,10.25576575,8.19133901,12.84048079,0.28717918,0.20241343,0.40744273,35.71630243,24.7703037,51.49933869,4.28124807,2.06294771,8.88490044,0.11986818,0.05900253,0.24352142,0.60580564,0.26983383,1.36009806,2.10950404,1.00337944,4.43501943,Convergence: 0  MSG: relative convergence (4),,
Cod_7_ek,SPICT,2,Y,Y,Y,Y,Medium,0.2,0.8,20.72875,331.66,5.171587789,0.535016541,0.120731499,0.482925995,-1.197895485,0.229072683,0.534143618,0.347302908,0.720984329,80.93771694,43.84328867,118.0321452,10.51908652,7.97892286,13.86793472,0.26405227,0.18383598,0.37927069,39.84428206,25.79505319,61.54539792,4.55833163,2.23264561,9.30662134,0.11440366,0.05464399,0.23951758,0.56954737,0.25851648,1.2547912,2.15694938,1.02580469,4.53539617,Convergence: 0  MSG: relative convergence (4),,
Had_7_bk,CMSY,1,Y,Y,Y,Y,Medium,0.2,0.8,34.43041667,550.8866667,5.679006543,0.535016541,0.097515047,0.390060188,-1.411457853,0.229072683,0.565525439,0.407485471,0.784859938,120.7843368,76.63975725,190.3562398,17.07665376,13.31001265,21.90922814,0.282762719,0.203742736,0.392429969,60.39216838,38.31987863,95.1781199,54.8006481,25.97550652,71.94901254,0.907413156,0.430113825,1.191363292,0.293281203,0.223380411,0.618736731,1.037198976,0.789992442,2.188183551,,,
Had_7_bk,BSM,1,Y,Y,Y,Y,Medium,0.2,0.8,34.43041667,550.8866667,5.679006543,0.535016541,0.097515047,0.390060188,-1.411457853,0.229072683,0.476881126,0.302490246,0.751811377,126.2533609,92.8874212,171.6046255,15.05196121,12.03246558,18.82918632,0.238440563,0.151245123,0.375905688,63.12668043,46.4437106,85.80231274,42.01247498,24.84124018,72.22207485,0.665526441,0.393514121,1.144081621,0.382553039,0.222535839,0.646988632,1.604395808,0.933296902,2.713416813,,,
Had_7_bk,SPICT,1,N,N,N,N,Medium,0.2,0.8,34.43041667,550.8866667,5.679006543,0.535016541,0.097515047,0.390060188,-1.411457853,0.229072683,0.406868616,-0.479804282,1.293541514,80.50962286,-22.48287388,183.5021196,15.2355558,11.18275239,20.75715821,0.74797581,0.21681076,2.58044295,20.35800288,6.36208537,65.14346428,18.45162228,7.12814863,47.76308441,0.90635719,0.26436562,3.10737595,0.94965803,0.34759968,2.59450868,1.26963737,0.29751378,5.41816597,Convergence: 0  MSG: relative convergence (4),,
